ts,AOI_Control_Loop_Flow_Eq_Feed_Tank.LIT_30_01,AOI_Control_Loop_Flow_Eq_Feed_Tank.SP_Level_Flow_Eq_Tank,AOI_Control_Loop_Flow_Eq_Feed_Tank.Water_Off_Range,AOI_Control_Loop_Flow_Eq_Feed_Tank.ZC_30_03,AOI_Control_Loop_Flow_Eq_Feed_Tank.ZCC_30_07,AOI_Control_Loop_Flow_Eq_Feed_Tank.ZCC_30_08,AOI_Control_Loop_Flow_Eq_Feed_Tank.ZCO_30_07,AOI_Control_Loop_Flow_Eq_Feed_Tank.ZCO_30_08,AOI_Control_Loop_Flow_Eq_Feed_Tank.Sts_Auto,AOI_Control_Loop_Flow_Eq_Feed_Tank.Water_Off_Range_SCADA_Reset,AOI_Control_Loop_Flow_Eq_Feed_Tank.ATS_1_Utility_Power
2024-06-13 09:22:19,24.864774703979492,15.0,False,34.57916259765625,False,True,True,False,True,False,True
2024-06-13 09:22:22,24.578163146972656,15.0,False,34.57916259765625,False,True,True,False,True,False,True
2024-06-13 09:22:24,25.090381622314453,15.0,False,0.0,True,True,False,False,False,False,True
2024-06-13 09:22:27,25.23357582092285,15.0,False,0.0,True,True,False,False,False,False,True
2024-06-13 09:22:30,25.300373077392578,15.0,False,0.0,True,True,False,False,False,False,True
2024-06-13 09:22:32,25.794179916381836,15.0,False,0.0,True,True,False,False,False,False,True
2024-06-13 09:22:35,26.06055450439453,15.0,False,0.0,True,True,False,False,False,False,True
2024-06-13 09:22:37,25.858922958374023,15.0,False,0.0,True,True,False,False,False,False,True
2024-06-13 09:22:40,26.19135284423828,15.0,False,0.0,True,True,False,False,False,False,True
2024-06-13 09:22:42,26.339733123779297,15.0,False,0.0,True,True,False,False,False,False,True
2024-06-13 09:22:45,26.619243621826172,15.0,False,0.0,True,True,False,False,False,False,True
2024-06-13 09:22:47,26.056934356689453,15.0,False,0.0,True,True,False,False,False,False,True
2024-06-13 09:22:50,25.817174911499023,15.0,False,0.0,True,True,False,False,False,False,True
2024-06-13 09:22:53,25.817174911499023,15.0,False,0.0,True,True,False,False,False,False,True
2024-06-13 09:22:55,26.469223022460938,15.0,False,0.0,True,True,False,False,False,False,True
2024-06-13 09:22:57,25.889148712158203,15.0,False,0.0,True,True,False,False,False,False,True
2024-06-13 09:23:00,25.94379997253418,15.0,False,0.0,True,True,False,False,False,False,True
2024-06-13 09:23:02,25.94379997253418,15.0,False,0.0,True,True,False,False,False,False,True
2024-06-13 09:23:05,25.837888717651367,15.0,False,0.0,True,True,False,False,False,False,True
2024-06-13 09:23:07,25.953481674194336,15.0,False,0.0,True,True,False,False,False,False,True
2024-06-13 09:23:10,26.147096633911133,15.0,False,0.0,True,True,False,False,False,False,True
2024-06-13 09:23:12,26.263032913208008,15.0,False,0.0,True,True,False,False,False,False,True
2024-06-13 09:23:15,25.704137802124023,15.0,False,0.0,True,True,False,False,False,False,True
2024-06-13 09:23:17,26.221315383911133,15.0,False,0.0,True,True,False,False,False,False,True
2024-06-13 09:23:20,26.04473304748535,15.0,False,0.0,True,True,False,False,False,False,True
2024-06-13 09:23:22,25.867202758789062,15.0,False,0.0,True,True,False,False,False,False,True
2024-06-13 09:23:25,25.867202758789062,15.0,False,0.0,True,True,False,False,False,False,True
2024-06-13 09:23:27,25.838346481323242,15.0,False,0.0,True,True,False,False,False,False,True
2024-06-13 09:23:30,25.944547653198242,15.0,False,0.0,True,True,False,False,False,False,True
2024-06-13 09:23:32,25.88896369934082,15.0,False,0.0,True,True,False,False,False,False,True
2024-06-13 09:23:34,26.107999801635742,15.0,False,0.0,True,True,False,False,False,False,True
2024-06-13 09:23:37,26.027698516845703,15.0,False,0.0,True,True,False,False,False,False,True
2024-06-13 09:23:39,26.293785095214844,15.0,False,0.0,True,True,False,False,False,False,True
2024-06-13 09:23:42,25.850080490112305,15.0,False,0.0,True,True,False,False,False,False,True
2024-06-13 09:23:44,26.320755004882812,15.0,False,0.0,True,True,False,False,False,False,True
2024-06-13 09:23:47,26.08106803894043,15.0,False,0.0,True,True,False,False,False,False,True
2024-06-13 09:23:49,26.14924430847168,15.0,False,0.0,True,True,False,False,False,False,True
2024-06-13 09:23:52,25.766475677490234,15.0,False,0.0,True,True,False,False,False,False,True
2024-06-13 09:23:54,25.711668014526367,15.0,False,0.0,True,True,False,False,False,False,True
2024-06-13 09:23:57,25.66416358947754,15.0,False,0.0,True,True,False,False,False,False,True
2024-06-13 09:23:59,24.990501403808594,15.0,False,0.0,True,True,False,False,False,False,True
2024-06-13 09:24:02,24.547149658203125,15.0,False,0.0,True,True,False,False,False,False,True
2024-06-13 09:24:04,24.082313537597656,15.0,False,0.0,True,True,False,False,False,False,True
2024-06-13 09:24:07,23.472124099731445,15.0,False,0.0,True,True,False,False,False,False,True
2024-06-13 09:24:09,23.28646469116211,15.0,False,0.0,False,True,True,False,True,False,True
2024-06-13 09:24:12,22.624723434448242,15.0,False,0.0,False,True,True,False,True,False,True
2024-06-13 09:24:14,21.94508934020996,15.0,False,0.0,False,True,True,False,True,False,True
2024-06-13 09:24:17,21.897443771362305,15.0,False,0.0,False,True,True,False,True,False,True
2024-06-13 09:24:19,21.6794490814209,15.0,False,0.0,False,True,True,False,True,False,True
2024-06-13 09:24:21,21.134159088134766,15.0,False,0.0,False,True,True,False,True,False,True
2024-06-13 09:24:24,20.755399703979492,15.0,False,0.0,False,True,True,False,True,False,True
2024-06-13 09:24:26,20.298452377319336,15.0,False,0.0,False,True,True,False,True,False,True
2024-06-13 09:24:29,20.139982223510742,15.0,False,0.0,False,True,True,False,True,False,True
2024-06-13 09:24:31,20.069377899169922,15.0,False,0.0,False,True,True,False,True,False,True
2024-06-13 09:24:34,19.263484954833984,15.0,False,0.0,False,True,True,False,True,False,True
2024-06-13 09:24:37,18.62689208984375,15.0,False,0.0,False,True,True,False,True,False,True
2024-06-13 09:24:39,18.042251586914062,15.0,False,0.0,False,True,True,False,True,False,True
2024-06-13 09:24:42,17.910009384155273,15.0,False,0.0,False,True,True,False,True,False,True
2024-06-13 09:24:44,17.69742202758789,15.0,False,0.0,False,True,True,False,True,False,True
2024-06-13 09:24:47,17.541702270507812,15.0,False,0.0,False,True,True,False,True,False,True
2024-06-13 09:24:49,16.453475952148438,15.0,False,0.0,False,True,True,False,True,False,True
2024-06-13 09:24:52,16.03162384033203,15.0,False,0.0,False,True,True,False,True,False,True
2024-06-13 09:24:54,16.03162384033203,15.0,False,0.0,False,True,True,False,True,False,True
2024-06-13 09:24:57,15.852675437927246,15.0,False,0.0,False,True,True,False,True,False,True
2024-06-13 09:25:00,14.639030456542969,15.0,False,0.0,False,True,True,False,True,False,True
2024-06-13 09:25:02,14.434602737426758,15.0,False,0.0,False,True,True,False,True,False,True
2024-06-13 09:25:05,14.434602737426758,15.0,False,0.0,False,True,True,False,True,False,True
2024-06-13 09:25:07,13.996792793273926,15.0,False,0.0,False,True,True,False,True,False,True
2024-06-13 09:25:10,13.96948528289795,15.0,False,0.0,False,True,True,False,True,False,True
2024-06-13 09:25:12,14.195230484008789,15.0,False,0.0,False,True,True,False,True,False,True
2024-06-13 09:25:15,13.711441040039062,15.0,False,0.3334531784057617,False,True,True,False,True,False,True
2024-06-13 09:25:17,13.80778980255127,15.0,False,0.2879842221736908,False,True,True,False,True,False,True
2024-06-13 09:25:20,14.1233549118042,15.0,False,0.012890583835542202,False,True,True,False,True,False,True
2024-06-13 09:25:22,14.361283302307129,15.0,False,0.0,False,True,True,False,True,False,True
2024-06-13 09:25:25,14.048744201660156,15.0,False,0.15281662344932556,False,True,True,False,True,False,True
2024-06-13 09:25:27,14.1480131149292,15.0,False,0.09028899669647217,False,True,True,False,True,False,True
2024-06-13 09:25:30,14.088400840759277,15.0,False,0.18713946640491486,False,True,True,False,True,False,True
2024-06-13 09:25:33,13.795858383178711,15.0,False,0.5261976718902588,False,True,True,False,True,False,True
2024-06-13 09:25:35,14.41118049621582,15.0,False,0.0,False,True,True,False,True,False,True
2024-06-13 09:25:38,14.401028633117676,15.0,False,0.0,False,True,True,False,True,False,True
2024-06-13 09:25:40,14.276908874511719,15.0,False,0.13078144192695618,False,True,True,False,True,False,True
2024-06-13 09:25:43,14.062524795532227,15.0,False,0.22628052532672882,False,True,True,False,True,False,True
2024-06-13 09:25:45,14.062524795532227,15.0,False,0.4140574634075165,False,True,True,False,True,False,True
2024-06-13 09:25:48,14.008698463439941,15.0,False,0.5076200366020203,False,True,True,False,True,False,True
2024-06-13 09:25:50,13.898772239685059,15.0,False,0.661139726638794,False,True,True,False,True,False,True
2024-06-13 09:25:52,14.336244583129883,15.0,False,0.260437935590744,False,True,True,False,True,False,True
2024-06-13 09:25:55,13.907358169555664,15.0,False,0.7259160280227661,False,True,True,False,True,False,True
2024-06-13 09:25:57,13.994295120239258,15.0,False,0.6819712519645691,False,True,True,False,True,False,True
2024-06-13 09:26:00,14.144437789916992,15.0,False,0.5622221827507019,False,True,True,False,True,False,True
2024-06-13 09:26:02,14.396446228027344,15.0,False,0.3456415832042694,False,True,True,False,True,False,True
2024-06-13 09:26:05,14.11857795715332,15.0,False,0.6567633748054504,False,True,True,False,True,False,True
2024-06-13 09:26:07,14.149782180786133,15.0,False,0.6613749265670776,False,True,True,False,True,False,True
2024-06-13 09:26:10,14.018793106079102,15.0,False,0.831610381603241,False,True,True,False,True,False,True
2024-06-13 09:26:12,14.169332504272461,15.0,False,0.7175639271736145,False,True,True,False,True,False,True
2024-06-13 09:26:15,14.178446769714355,15.0,False,0.7427939176559448,False,True,True,False,True,False,True
2024-06-13 09:26:17,13.883275032043457,15.0,False,1.0808073282241821,False,True,True,False,True,False,True
2024-06-13 09:26:20,13.632810592651367,15.0,False,1.3695396184921265,False,True,True,False,True,False,True
2024-06-13 09:26:22,14.141786575317383,15.0,False,0.9111678004264832,False,True,True,False,True,False,True
2024-06-13 09:26:24,13.597464561462402,15.0,False,1.4980525970458984,False,True,True,False,True,False,True
2024-06-13 09:26:27,13.583904266357422,15.0,False,1.5703343152999878,False,True,True,False,True,False,True
2024-06-13 09:26:29,13.542501449584961,15.0,False,1.659457802772522,False,True,True,False,True,False,True
2024-06-13 09:26:32,13.421439170837402,15.0,False,1.843772530555725,False,True,True,False,True,False,True
2024-06-13 09:26:34,12.943262100219727,15.0,False,2.39768385887146,False,True,True,False,True,False,True
2024-06-13 09:26:36,13.13643741607666,15.0,False,2.2861814498901367,False,True,True,False,True,False,True
