ts,AOI_C_Loop_Cascade_Aerator_Recycle_Pump.SP_Recycle_Flow_Rate,AOI_C_Loop_Cascade_Aerator_Recycle_Pump.SP_Recycle_Pump_Stop_Level,AOI_C_Loop_Cascade_Aerator_Recycle_Pump.FIT_30_04,AOI_C_Loop_Cascade_Aerator_Recycle_Pump.LIT_30_01,AOI_C_Loop_Cascade_Aerator_Recycle_Pump.UCR_30_04,AOI_C_Loop_Cascade_Aerator_Recycle_Pump.SC_30_04,AOI_C_Loop_Cascade_Aerator_Recycle_Pump.PSH_30_04,AOI_C_Loop_Cascade_Aerator_Recycle_Pump.UA_30_04,AOI_C_Loop_Cascade_Aerator_Recycle_Pump.YA_30_04,AOI_C_Loop_Cascade_Aerator_Recycle_Pump.Sts_Auto,AOI_C_Loop_Cascade_Aerator_Recycle_Pump.Power_Failure
2024-06-19 16:55:09,200.0,3.5,199.9325714111328,15.438202857971191,True,72.4437026977539,False,False,False,True,False
2024-06-19 16:55:12,200.0,3.5,199.76333618164062,15.032318115234375,True,72.47818756103516,False,False,False,True,False
2024-06-19 16:55:14,200.0,3.5,199.73599243164062,15.056065559387207,True,72.48470306396484,False,False,False,True,False
2024-06-19 16:55:17,200.0,3.5,199.9399871826172,15.152256965637207,True,72.44442749023438,False,False,False,True,False
2024-06-19 16:55:19,200.0,3.5,199.70654296875,15.043639183044434,True,72.4920425415039,False,False,False,True,False
2024-06-19 16:55:22,200.0,3.5,200.3753662109375,14.929790496826172,True,72.35755157470703,False,False,False,True,False
2024-06-19 16:55:24,200.0,3.5,200.1956329345703,14.648862838745117,True,72.39261627197266,False,False,False,True,False
2024-06-19 16:55:27,200.0,3.5,200.05580139160156,14.257820129394531,True,72.4202880859375,False,False,False,True,False
2024-06-19 16:55:29,200.0,3.5,200.2115478515625,14.292031288146973,True,72.38832092285156,False,False,False,True,False
2024-06-19 16:55:32,200.0,3.5,199.70944213867188,14.326398849487305,True,72.48933410644531,False,False,False,True,False
2024-06-19 16:55:34,200.0,3.5,199.8953094482422,14.220745086669922,True,72.45274353027344,False,False,False,True,False
2024-06-19 16:55:36,200.0,3.5,200.31781005859375,14.15733814239502,True,72.36778259277344,False,False,False,True,False
2024-06-19 16:55:39,200.0,3.5,199.96009826660156,13.989405632019043,True,72.43903350830078,False,False,False,True,False
2024-06-19 16:55:41,200.0,3.5,200.20103454589844,14.272741317749023,True,72.39030456542969,False,False,False,True,False
2024-06-19 16:55:44,200.0,3.5,199.80377197265625,14.181702613830566,True,72.4700698852539,False,False,False,True,False
